method,leaf,actual,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
new_noaid,10,16.06,26,19,12,6,21,36,26,24,30,10,14,4,17,24,21,18,32,8,20,10
new_noaid,11,16.7,7,28,22,4,10,30,15,23,10,15,4,5,40,23,25,26,21,3,7,15
new_noaid,12,19.5,16,23,28,9,33,25,32,32,40,5,10,15,15,12,23,33,28,16,16,40
new_noaid,13,20.75,30,15,19,10,17,28,40,20,28,14,10,3,31,20,22,30,13,13,28,10
new_noaid,14,23.56,19,28,13,5,24,10,25,10,25,13,9,2,17,20,14,16,11,14,27,10
new_noaid,15,23.77,20,29,22,15,14,20,25,48,40,25,9,8,13,30,45,55,8,11,20,20
new_noaid,16,24.45,26,25,17,11,18,30,21,32,30,17,13,2,18,18,21,35,29,7,20,15
new_noaid,17,25.78,40,32,29,15,11,15,40,28,50,40,8,37,15,65,50,73,10,10,32,30
new_noaid,18,26.03,30,35,27,17,23,35,36,35,30,20,7,6,30,35,11,23,19,10,38,20
new_noaid,19,26.42,24,20,17,12,30,23,36,37,30,16,15,5,17,19,19,42,40,14,18,15
new_noaid,20,28.89,48,37,35,20,19,25,40,45,50,50,20,15,30,40,63,42,37,12,33,15
new_noaid,21,31.21,48,32,37,20,26,45,47,42,60,37,20,27,41,35,46,62,46,15,25,20
new_noaid,22,33.05,49,19,32,20,20,27,45,28,30,11,12,7,45,38,30,42,19,18,43,20
new_noaid,23,34.63,53,39,54,40,25,46,60,25,50,21,30,7,70,45,66,50,17,21,76,30
new_noaid,24,36.15,30,57,46,50,13,70,30,50,40,60,20,18,20,22,85,89,71,25,85,60
new_noaid,25,36.74,57,38,44,52,41,50,71,38,70,30,14,23,58,53,50,53,51,20,62,20
new_noaid,26,38,49,40,30,31,28,50,65,45,50,45,19,93,49,42,33,60,50,21,53,60
new_noaid,27,38.07,60,58,40,30,48,50,65,30,60,15,25,20,80,60,72,84,26,28,67,60
new_noaid,28,40,47,71,77,49,39,50,57,43,70,25,33,18,47,39,52,30,27,23,28,70
new_noaid,29,40.34,20,53,52,40,15,60,35,60,60,50,53,43,25,50,80,91,50,26,75,60
new_noaid,30,44.01,49,54,78,61,67,65,58,50,60,25,34,34,49,64,69,67,24,25,78,20
new_noaid,31,45.42,50,35,39,32,49,20,37,60,60,20,20,33,39,32,39,30,25,19,63,20
new_noaid,32,45.47,84,41,65,60,48,55,55,40,70,25,40,35,79,70,56,57,31,29,69,30
new_noaid,33,49.23,70,45,71,50,21,30,55,55,75,35,13,17,60,80,72,69,15,27,79,30
